"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5611","Prevent Transferring Zero Amount","chromium","2026-06-15","passed","2026-06-15","","negative\transfer-zero.spec.ts","",""
"","1342","Verify account balance is a valid numeric format","chromium","2026-06-15","passed","2026-06-15","","api\check-balance-numeric.spec.ts","",""
"","697","Verify account type strings are valid","chromium","2026-06-15","passed","2026-06-15","","api\verify-acc-types.spec.ts","",""
"","6","Prevent access to non-existent customer accounts","chromium","2026-06-15","skipped","2026-06-15","","negative\invalid-customer-id.api.spec.ts","",""
"","336","Prevent API login with invalid credentials","chromium","2026-06-15","passed","2026-06-15","","negative\invalid-api-credentials.api.spec.ts","",""
"","9746","Full User Account Lifecycle","chromium","2026-06-15","passed","2026-06-15","","e2e\account-e2e.spec.ts","",""
"","9708","Verify API Account shows up on UI","chromium","2026-06-15","passed","2026-06-15","","api\api-to-ui.spec.ts","",""
"","5641","Prevent Transfer to Same Account","chromium","2026-06-15","passed","2026-06-15","","negative\transfer-same-acc.spec.ts","",""
"","5617","Transfer Funds Successfully","chromium","2026-06-15","passed","2026-06-15","","ui\transfer-success.spec.ts","",""
"","6592","Hybrid Validation - UI Creation & API Verification","chromium","2026-06-15","passed","2026-06-15","","e2e\createacc-n-verify.spec.ts","",""
"","3701","Login Fails with Wrong Password","chromium","2026-06-15","passed","2026-06-15","","negative\login-invalid-pass.spec.ts","",""
"","5039","Create Checking Account","chromium","2026-06-15","passed","2026-06-15","","ui\create-checking-acc.spec.ts","",""
"","664","Validate Account API Schema Fields","chromium","2026-06-15","passed","2026-06-15","","api\validate-schema-specs.spec.ts","",""
"","326","API Response Time is under 2 seconds","chromium","2026-06-15","passed","2026-06-15","","performance\api-response-time.spec.ts","",""
"","1014","Successfully fetch specific account by Account ID","chromium","2026-06-15","passed","2026-06-15","","api\get-accounts-id.spec.ts","",""
"","658","Successfully fetch list of accounts for customer","chromium","2026-06-15","passed","2026-06-15","","api\get-sccountss-list.spec.ts","",""
"","3148","Empty credentials stays on login page","chromium","2026-06-15","passed","2026-06-15","","negative\loginempty-fields.spec.ts","",""
"","4836","Create Savings Account","chromium","2026-06-15","passed","2026-06-15","","ui\create-savings-acc.spec.ts","",""
"","3348","Valid login redirects to overview","chromium","2026-06-15","passed","2026-06-15","","ui\login.spec.ts","",""
"","2395","Direct URL Access Shows Error","chromium","2026-06-15","passed","2026-06-15","","negative\unauth-url-access.spec.ts","",""
"","336","API successfully handles standard data requests","chromium","2026-06-15","passed","2026-06-15","","performance\api-request.spec.ts","",""
"","6072","Transfer Funds UI & Verify API Stability","chromium","2026-06-15","passed","2026-06-15","","e2e\transfer-verify-balance.spec.ts","",""
